Datas,Infectados,Recuperados,Obitos
2020-01-01,4,0,0
2020-01-02,5,0,0
2020-01-03,5,0,0
2020-01-04,5,0,0
2020-01-05,6,0,0
2020-01-06,8,0,0
2020-01-07,9,0,0
2020-01-08,9,1,0
2020-01-09,9,1,0
2020-01-10,9,1,0
2020-01-11,9,1,0
2020-01-12,8,2,0
2020-01-13,8,2,0
2020-01-14,7,3,0
2020-01-15,8,3,0
2020-01-16,8,3,0
2020-01-17,7,4,0
2020-01-18,8,4,0
2020-01-19,8,4,0
2020-01-20,9,4,0
2020-01-21,9,4,0
2020-01-22,9,5,0
2020-01-23,9,5,0
2020-01-24,9,5,0
2020-01-25,8,6,0
2020-01-26,7,7,0
2020-01-27,6,8,0
2020-01-28,7,8,0
2020-01-29,8,8,0
2020-01-30,8,8,0
2020-01-31,9,8,0
2020-02-01,9,8,0
2020-02-02,10,8,0
2020-02-03,10,9,0
2020-02-04,9,10,0
2020-02-05,9,10,0
2020-02-06,9,10,0
2020-02-07,10,10,0
2020-02-08,10,10,0
2020-02-09,10,10,0
2020-02-10,9,11,0
2020-02-11,7,13,0
2020-02-12,7,13,0
2020-02-13,6,14,0
2020-02-14,6,14,0
2020-02-15,6,14,0
2020-02-16,6,14,0
2020-02-17,6,14,0
2020-02-18,6,14,0
2020-02-19,6,14,0
2020-02-20,6,14,0
2020-02-21,6,14,0
2020-02-22,6,14,0
2020-02-23,6,14,0
2020-02-24,6,14,0
2020-02-25,6,14,0
2020-02-26,6,14,0
2020-02-27,6,14,0
2020-02-28,6,14,0
2020-02-29,6,14,0
2020-03-01,50,14,0
2020-03-02,57,15,0
2020-03-03,67,15,0
2020-03-04,72,15,0
2020-03-05,89,15,0
2020-03-06,100,18,0
2020-03-07,111,19,0
2020-03-08,120,21,0
2020-03-09,140,24,0
2020-03-10,208,29,0
2020-03-11,238,32,0
2020-03-12,271,36,0
2020-03-13,329,39,0
2020-03-14,397,46,0
2020-03-15,576,58,0
2020-03-16,686,75,0
2020-03-17,797,86,0
2020-03-18,886,102,0
2020-03-19,980,121,2
2020-03-20,1271,147,3
2020-03-21,1398,168,5
2020-03-22,1537,193,7
2020-03-23,1709,238,9
2020-03-24,1814,281,12
2020-03-25,2005,324,20
2020-03-26,2097,386,27
2020-03-27,2258,453,31
2020-03-28,2439,501,37
2020-03-29,2580,584,42
2020-03-30,2780,666,54
2020-03-31,2887,756,61
2020-04-01,3282,864,73
2020-04-02,3523,974,84
2020-04-03,3729,1098,103
2020-04-04,4040,1228,119
2020-04-05,4423,1363,135
2020-04-06,4684,1522,155
2020-04-07,4900,1697,174
2020-04-08,5155,1864,197
2020-04-09,5527,2046,223
2020-04-10,6264,2228,244
2020-04-11,6605,2442,271
2020-04-12,7048,2658,310
2020-04-13,7604,2883,342
2020-04-14,8049,3157,380
2020-04-15,8693,3433,423
2020-04-16,9101,3732,469
2020-04-17,9591,4050,502
2020-04-18,10081,4379,553
2020-04-19,10416,4701,610
2020-04-20,11759,5126,686
2020-04-21,12123,5548,744
2020-04-22,12706,5989,813
2020-04-23,13156,6449,882
2020-04-24,13684,6941,958
2020-04-25,14185,7419,1048
2020-04-26,14365,7975,1145
2020-04-27,14852,8525,1227
2020-04-28,15171,9145,1329
2020-04-29,15289,9758,1434
2020-04-30,15876,10422,1540
2020-05-01,16920,11092,1629
2020-05-02,17034,11793,1743
2020-05-03,16973,12456,1859
2020-05-04,17184,13231,1961
2020-05-05,17724,13996,2091
2020-05-06,17569,14804,2243
2020-05-07,17400,15614,2360
2020-05-08,17410,16422,2494
2020-05-09,17231,17144,2624
2020-05-10,17699,17861,2753
2020-05-11,17512,18716,2871
2020-05-12,17298,19528,3000
2020-05-13,17054,20334,3111
2020-05-14,16724,21148,3240
2020-05-15,16750,22034,3352
2020-05-16,16412,22838,3460
2020-05-17,16074,23604,3584
2020-05-18,15799,24408,3696
2020-05-19,15472,25218,3793
2020-05-20,15485,26025,3880
2020-05-21,15218,26789,3983
2020-05-22,15052,27561,4084
2020-05-23,14683,28272,4192
2020-05-24,14182,28967,4278
